Symbol,Company Name,Exchange,Price,Shares,Date,Offer Amount,Actions
CUE,"Cue Biopharma, Inc.",NASDAQ Capital,7.50,"8,820,710",01/02/2018,66155325,Priced
SXTC,"China SXT Pharmaceuticals, Inc.",NASDAQ Capital,4.00,"2,546,275",01/04/2019,10185100,Priced
MDJH,MDJM LTD,NASDAQ Capital,5.00,"1,241,459",01/08/2019,6207295,Priced
MTC,"MMTec, Inc.",NASDAQ Capital,4.00,"1,800,000",01/08/2019,7200000,Priced
NEBUU,OPEN LENDING CORPORATION (A),NASDAQ Capital,10.00,"25,000,000",01/10/2018,250000000,Priced
ILPT,Industrial Logistics Properties Trust,NASDAQ Global Select,24.00,"20,000,000",01/12/2018,480000000,Priced
LBRT,Liberty Oilfield Services Inc.,NYSE,17.00,"12,731,092",01/12/2018,216428564,Priced
EAGLU,Target Hospitality Corp.,NASDAQ Capital,10.00,"30,000,000",01/12/2018,300000000,Priced
GSHTU,VERRA MOBILITY Corp,NASDAQ Capital,10.00,"37,500,000",01/13/2017,375000000,Priced
PN,"Patriot National, Inc.",New York Stock Exchange,14.00,"8,315,700",01/16/2015,116419800,Priced
ICBK,"County Bancorp, Inc.",Nasdaq National Market,15.75,"1,180,000",01/16/2015,18585000,Priced
QPACU,"Exela Technologies, Inc.",Nasdaq SmallCap Market,10.00,"35,000,000",01/16/2015,350000000,Priced
OMADU,Ranpak Holdings Corp.,NYSE,10.00,"30,000,000",01/18/2018,300000000,Priced
NINE,"Nine Energy Service, Inc.",NYSE,23.00,"7,000,000",01/19/2018,161000000,Priced
ADT,ADT Inc.,NYSE,14.00,"105,000,000",01/19/2018,1470000000,Priced
COLD,AMERICOLD REALTY TRUST,NYSE,16.00,"45,300,000",01/19/2018,724800000,Priced
FRAC,NEXTIER OILFIELD SOLUTIONS INC.,NYSE,19.00,"26,760,000",01/20/2017,508440000,Priced
FNTEU,"International Money Express, Inc.",NASDAQ Capital,10.00,"15,300,000",01/20/2017,153000000,Priced
EURN,Euronav NV,New York Stock Exchange,12.25,"16,260,000",01/23/2015,199185000,Priced
BOX,BOX INC,New York Stock Exchange,14.00,"12,500,000",01/23/2015,175000000,Priced
PAGS,PagSeguro Digital Ltd.,NYSE,21.50,"105,385,555",01/24/2018,2265789433,Priced
GTES,Gates Industrial Corp plc,NYSE,19.00,"38,500,000",01/25/2018,731500000,Priced
MNLO,Menlo Therapeutics Inc.,NASDAQ Global Select,17.00,"7,000,000",01/25/2018,119000000,Priced
EYEN,"EYENOVIA, INC.",NASDAQ Capital,10.00,"2,730,000",01/25/2018,27300000,Priced
GPAQU,Gordon Pointe Acquisition Corp.,NASDAQ Capital,10.00,"12,500,000",01/25/2018,125000000,Priced
OBSV,ObsEva SA,NASDAQ Global Select,15.00,"6,450,000",01/26/2017,96750000,Priced
ANAB,"ANAPTYSBIO, INC",NASDAQ Global Select,15.00,"5,000,000",01/26/2017,75000000,Priced
AGS,"PlayAGS, Inc.",NYSE,16.00,"10,250,000",01/26/2018,164000000,Priced
ARMO,"ARMO BioSciences, Inc.",NASDAQ Global Select,17.00,"7,529,412",01/26/2018,128000004,Priced
SLDB,Solid Biosciences Inc.,NASDAQ Global Select,16.00,"7,812,500",01/26/2018,125000000,Priced
TORC,"resTORbio, Inc.",NASDAQ Global Select,15.00,"5,666,667",01/26/2018,85000005,Priced
ZSAN,Zosano Pharma Corp,Nasdaq SmallCap Market,11.00,"4,500,000",01/27/2015,49500000,Priced
JAG,Jagged Peak Energy Inc.,NYSE,15.00,"31,599,334",01/27/2017,473990010,Priced
JELD,"JELD-WEN Holding, Inc.",NYSE,23.00,"25,000,000",01/27/2017,575000000,Priced
JNCE,"Jounce Therapeutics, Inc.",NASDAQ Global Select,16.00,"6,365,000",01/27/2017,101840000,Priced
REVG,"REV Group, Inc.",NYSE,22.00,"12,500,000",01/27/2017,275000000,Priced
ASND,Ascendis Pharma A/S,Nasdaq National Market,18.00,"6,000,000",01/28/2015,108000000,Priced
LENS,Presbia PLC,Nasdaq National Market,10.00,"4,166,667",01/29/2015,41666670,Priced
FLKS,"Salarius Pharmaceuticals, Inc.",Nasdaq National Market,16.00,"5,400,000",01/29/2015,86400000,Priced
ENTL,ENTELLUS MEDICAL INC,Nasdaq National Market,17.00,"4,603,580",01/29/2015,78260860,Priced
ANDAU,Andina Acquisition Corp. III,NASDAQ Capital,10.00,"10,000,000",01/29/2019,100000000,Priced
AVGR,Avinger Inc,Nasdaq National Market,13.00,"5,000,000",01/30/2015,65000000,Priced
ONCE,"Spark Therapeutics, Inc.",Nasdaq National Market,23.00,"7,000,000",01/30/2015,161000000,Priced
TCON,"Tracon Pharmaceuticals, Inc.",Nasdaq National Market,10.00,"3,600,000",01/30/2015,36000000,Priced
HIFR,"InfraREIT, Inc.",New York Stock Exchange,23.00,"20,000,000",01/30/2015,460000000,Priced
SHAK,Shake Shack Inc.,New York Stock Exchange,21.00,"5,000,000",01/30/2015,105000000,Priced
GLDW,World Gold Trust,NYSE Arca,119.32,"5,000,000",01/30/2017,596600000,Priced
MTECU,MTech Acquisition Corp,NASDAQ Capital,10.00,"5,000,000",01/30/2018,50000000,Priced
NFE,New Fortress Energy LLC,NASDAQ Global Select,14.00,"20,000,000",01/31/2019,280000000,Priced
PVT'U,KLDiscovery Inc.,NYSE,10.00,"20,000,000",01/31/2019,200000000,Priced
LAUR,"LAUREATE EDUCATION, INC.",NASDAQ Global Select,14.00,"35,000,000",02/01/2017,490000000,Priced
INVH,Invitation Homes Inc.,NYSE,20.00,"77,000,000",02/01/2017,1540000000,Priced
CAAP,CORPORACION AMERICA AIRPORTS S.A.,NYSE,17.00,"28,571,429",02/01/2018,485714293,Priced
HUD,Hudson Ltd.,NYSE,19.00,"39,417,765",02/01/2018,748937535,Priced
IPIC,iPic Entertainment Inc.,NASDAQ Global Select,18.50,"818,429",02/01/2018,15140937,Priced
VICI,VICI PROPERTIES INC.,NYSE,20.00,"60,500,000",02/01/2018,1210000000,Priced
SLGL,Sol-Gel Technologies Ltd.,NASDAQ Global,12.00,"6,250,000",02/01/2018,75000000,Priced
OSS,"ONE STOP SYSTEMS, INC.",NASDAQ Capital,5.00,"3,800,000",02/01/2018,19000000,Priced
GMHIU,"Gores Metropoulos, Inc.",NASDAQ Capital,10.00,"37,500,000",02/01/2019,375000000,Priced
FTSI,"FTS International, Inc.",NYSE,18.00,"19,500,000",02/02/2018,351000000,Priced
CEPU,CENTRAL PUERTO S.A.,NYSE,16.50,"20,000,000",02/02/2018,330000000,Priced
BGNE,"BeiGene, Ltd.",Nasdaq National Market,24.00,"6,600,000",02/03/2016,158400000,Priced
EDIT,"Editas Medicine, Inc.",Nasdaq National Market,16.00,"5,900,000",02/03/2016,94400000,Priced
METC,"Ramaco Resources, Inc.",NASDAQ Global Select,13.50,"6,000,000",02/03/2017,81000000,Priced
KRP,"Kimbell Royalty Partners, LP",NYSE,18.00,"5,000,000",02/03/2017,90000000,Priced
INMB,"Inmune Bio, Inc.",NASDAQ Capital,8.00,"1,020,560",02/04/2019,8164480,Priced
NVET,Nexvet Biopharma plc,Nasdaq National Market,10.00,"4,000,000",02/05/2015,40000000,Priced
PLTM,GraniteShares Platinum Trust,NYSE Arca,9.94,"1,000,000",02/05/2018,9940000,Priced
SSLJ,SSLJ. COM Ltd,NASDAQ Capital,5.00,"4,000,000",02/05/2018,20000000,Priced
BHACU,BARINGTON/HILCO ACQUISITION CORP.,Nasdaq SmallCap Market,10.00,"4,000,000",02/06/2015,40000000,Priced
CPPL,Columbia Pipeline Partners LP,New York Stock Exchange,23.00,"46,811,398",02/06/2015,1076662154,Priced
DEA,"Easterly Government Properties, Inc.",New York Stock Exchange,15.00,"12,000,000",02/06/2015,180000000,Priced
HHHHU,Scienjoy Holding Corp,NASDAQ Capital,10.00,"5,000,000",02/06/2019,50000000,Priced
ALEC,"Alector, Inc.",NASDAQ Global Select,19.00,"9,250,000",02/07/2019,175750000,Priced
MNCLU,Monocle Acquisition Corp,NASDAQ Capital,10.00,"15,000,000",02/07/2019,150000000,Priced
VCTR,"Victory Capital Holdings, Inc.",NASDAQ Global Select,13.00,"11,700,000",02/08/2018,152100000,Priced
WHD,"Cactus, Inc.",NYSE,19.00,"23,000,000",02/08/2018,437000000,Priced
EOLS,"Evolus, Inc.",NASDAQ Global,12.00,"5,000,000",02/08/2018,60000000,Priced
HMI,Huami Corp,NYSE,11.00,"10,000,000",02/08/2018,110000000,Priced
