,Symbol,Company Name,Exchange,Price,Shares,Date,Offer Amount,Actions,Description,Country,Group,Industry
0,ILPT,Industrial Logistics Properties Trust,NASDAQ Global Select,24.0,"20,000,000",01/12/2018,480000000,Priced,ILPT is a real estate investment trust or REIT that owns and leases industrial and logistics properties throughout the United States. ILPT is managed by the operating subsidiary of The RMR Group Inc. (Nasdaq: RMR) an alternative asset management company that is headquartered in Newton MA.,United States,Misc.,Real Estate
1,LBRT,Liberty Oilfield Services Inc.,NYSE,17.0,"12,731,092",01/12/2018,216428564,Priced,Liberty Oilfield Services Inc. provides hydraulic fracturing services to onshore oil and natural gas exploration and production companies in North America. The company offers its services primarily in the Permian Basin the Eagle Ford Shale the Denver-Julesburg Basin the Williston Basin and the Powder River Basin. Liberty Oilfield Services Inc. was founded in 2011 and is headquartered in Denver Colorado.,United States,Misc.,Energy
2,PACK,Ranpak Holdings Corp.,NYSE,10.0,"30,000,000",01/18/2018,300000000,Priced,Ranpak Holdings Corp. and its subsidiaries provide product protection solutions for e-commerce and industrial supply chains. The company manufactures and assembles proprietary protective systems that convert kraft paper into a range of packaging and cushioning products to address its customers' needs. Its protective packaging solutions include four categories: Void-Fill Cushioning Wrapping and Line Automation. The Void-Fill protective systems convert paper to fill empty spaces in secondary packages and protect objects. The Cushioning protective systems convert paper into cushioning pads. The Wrapping protective systems create pads or paper mesh to wrap and protect fragile items as well as to line boxes and provide separation when shipping various objects. The Line Automation solutions include capital equipment which can size pad fill flap lid tape and/or label the product in an integrated fashion with the speed and flow of the customer's packaging line. Ranpak Holdings Corp. sells its products to end users primarily through a distributor network and directly to select end users in North America Europe Asia and other locations. The company was founded in 1972 and is headquartered in Concord Township Ohio.,United States,Misc.,Consumer Cyclical
3,NINE,"Nine Energy Service, Inc.",NYSE,23.0,"7,000,000",01/19/2018,161000000,Priced,Nine Energy Service Inc. operates as an onshore completion services provider that targets unconventional oil and gas resource development across North American basins and internationally. It offers cementing services which consist of blending high-grade cement and water with various solid and liquid additives to create a cement slurry that is pumped between the casing and the wellbore of the well. The company also provides a portfolio of completion tools such as liner hangers and accessories fracture isolation packers frac sleeves stage one prep tools frac plugs casing flotation tools specialty open hole float equipment disk subs composite cement retainers and centralizers that provide pinpoint frac sleeve system technologies. In addition it offers wireline services consisting of plug-and-perf completions which is a multistage well completion technique for cased-hole wells that consists of deploying perforating guns and isolation tools to a specified depth; and coiled tubing services which perform wellbore intervention operations utilizing a continuous steel pipe that is transported to the wellsite wound on a large spool in lengths of up to 30000 feet. Nine Energy Service Inc. operates 47 wireline pumpdown units and 14 coiled tubing units. The company was formerly known as NSC-Tripoint Inc. and changed its name to Nine Energy Service Inc. in October 2011. Nine Energy Service Inc. was incorporated in 2011 and is headquartered in Houston Texas.,United States,Misc.,Energy
4,ADT,ADT Inc.,NYSE,14.0,"105,000,000",01/19/2018,1470000000,Priced,ADT Inc. provides security and automation solutions for homes and businesses in the United States and Canada. It provides a range of fire detection fire suppression video surveillance and access control systems to residential commercial and multi-site customers. The company primarily offers monitored security and automation solutions including the installation and monitoring of security and premises automation systems designed to detect intrusion control access sense movement smoke fire carbon monoxide flooding temperature and other environmental conditions and hazards; and address personal emergencies such as injuries medical emergencies or incapacitation. It also provides interactive solutions that allow customers to use their smart phones tablets and laptops to arm and disarm their security systems adjust lighting or thermostat levels view real-time video of their premises and program customizable schedules for the management of a range of smart home products. In addition the company offers professional monitoring of third-party devices by enabling other companies to integrate solutions into its monitoring and billing platform. It provides its products under the ADT ADT Pulse Protection 1 ADT Commercial and Blue by ADT names. As of December 31 2019 ADT Inc. operated through a network of approximately 200 sales and service offices 9 underwriter laboratories listed monitoring centers 13 customer and field support locations two national sales call centers and two regional distribution centers. The company was formerly known as Prime Security Services Parent Inc. and changed its name to ADT Inc. in September 2017. ADT Inc. was founded in 1874 and is headquartered in Boca Raton Florida.,United States,Devices,Industrials
5,COLD,AMERICOLD REALTY TRUST,NYSE,16.0,"45,300,000",01/19/2018,724800000,Priced,Americold is the world's largest publicly traded REIT focused on the ownership operation acquisition and development of temperature-controlled warehouses. Based in Atlanta Georgia Americold owns and operates 183 temperature-controlled warehouses with over 1 billion refrigerated cubic feet of storage in the United States Australia New Zealand Canada and Argentina. Americold's facilities are an integral component of the supply chain connecting food producers processors distributors and retailers to consumers.,United States,Misc.,Real Estate
6,NEX,NEXTIER OILFIELD SOLUTIONS INC.,NYSE,19.0,"26,760,000",01/20/2017,508440000,Priced,NexTier Oilfield Solutions Inc. through its subsidiaries provides well completion and production services in various active and demanding basins. The company's Completion Services segment offers hydraulic fracturing services to enhance production of oil and natural gas from formations with low permeability and restricted flow of hydrocarbons; wireline services; and perforating pumpdown pipe recovery pressure pumping and wellsite make-up and pressure testing services. As of December 31 2019 it had approximately 45 hydraulic fracturing fleets 118 wireline trucks and 80 pumpdown units. The company's Well Construction and Intervention Services segment provides cementing services that incorporate custom engineered mixing and blending equipment to ensure precision and accuracy in providing annulus isolation and hydraulic seal while protecting fresh water zones from our customers' zone of interest; and engineering software and technical guidance for remedial cementing applications and acidizing to optimize the performance of its customers' wells. It also offers coiled tubing services to help customers in accomplishing various goals in their horizontal completion workover and well maintenance projects. As of December 31 2019 this segment had approximately 25 coiled tubing units and 101 cementing units. The company serves integrated and large independent oil and natural gas exploration and production companies in the United States and internationally. NexTier Oilfield Solutions Inc. was founded in 1973 and is headquartered in Houston Texas.,United States,Misc.,Energy
7,PAGS,PagSeguro Digital Ltd.,NYSE,21.5,"105,385,555",01/24/2018,2265789433,Priced,PagSeguro Digital Ltd. together with its subsidiaries provides financial technology solutions and services for consumers individual entrepreneurs micro-merchants and small and medium-sized companies in Brazil and internationally. The company's products and services include PagSeguro Ecosystem a digital ecosystem that operates as a closed loop where its clients are able to address their primary day to day financial needs including receiving and spending funds and managing and growing their businesses; PagBank digital account which offers banking services through the PagBank mobile app; and Free PagSeguro digital account which centralizes various cash-in options functionalities services and cash-out options in a single ecosystem. It also offers online gaming and cross-border digital services. In addition the company offers functionalities and value-added services and features such as purchase protection mechanisms antifraud platform account and business management tools and point of sale app. Further it is involved in processing of back-office solutions including sales reconciliation and gateway solutions and services as well as the capture of credit cards with acquirers and sub acquirers. Additionally the company engages in the in-person payment activities through POS devices; and issuance of prepaid cards for spending or withdrawing account balances. It also operates an online platform that facilitates peer-to-peer lending. The company was founded in 2006 and is headquartered in São Paulo Brazil. PagSeguro Digital Ltd. is a subsidiary of Universo Online S.A.,Brazil,OS,Technology
8,GTES,Gates Industrial Corp plc,NYSE,19.0,"38,500,000",01/25/2018,731500000,Priced,Gates Industrial Corporation plc manufactures and sells engineered power transmission and fluid power solutions worldwide. The company offers synchronous or asynchronous belts including V-belts CVT belts and Micro-V belts as well as related components such as sprockets pulleys water pumps tensioners or other accessories; and metal drive components and kits for stationary and mobile drives engine systems personal mobility and vertical lifts application platforms. It also provides fluid power products comprising hydraulic hoses tubing and fittings as well as assemblies; and engine and industrial hoses for use in stationary hydraulics mobile hydraulics engine systems and other industrial applications. The company serves various end markets comprising the construction agriculture energy automotive transportation general industrial consumer products and others. It sells its engineered products under the Gates brand. The company offers its products to replacement channel customers as well as to original equipment manufacturers as specified components. Gates Industrial Corporation plc was founded in 1911 and is headquartered in Denver Colorado.,United States,Misc.,Industrials
9,MNLO,Menlo Therapeutics Inc.,NASDAQ Global Select,17.0,"7,000,000",01/25/2018,119000000,Priced,Menlo Therapeutics Inc. a pharmaceutical company focuses on developing and commercializing various therapeutics for dermatology. It offers AMZEEQ a topical minocycline used for the treatment of inflammatory lesions of non-nodular moderate-to-severe acne vulgaris in patients 9 years of age and older. The company is also developing FMX103 which is in Phase III clinical trials for the treatment of moderate-to-severe papulopustular rosacea in adults; and FCD105 a topical combination foam that is in Phase II clinical trials for the treatment of moderate-to-severe acne vulgaris. In addition it is developing Serlopitant a once-daily oral NK1 receptor antagonist used as a treatment option for pruritus associated with prurigo nodularis. The company was founded in 2003 and is headquartered in Bridgewater New Jersey.,United States,Research,Healthcare
