Sector,Group,,,,,,,
REIT - Industrial,Misc.,,,,,,,
Oil & Gas Equipment & Services,Misc.,,,,,,,
Packaging & Containers,Misc.,,,,,,,
Oil & Gas Equipment & Services,Misc.,,,,,,,
Security & Protection Services,Devices,,,,,,,
REIT‚ Industrial,Misc.,,,,,,,
Oil & Gas Equipment & Services,Misc.,,,,,,,
Software‚ Infrastructure,OS,,,,,,,
Specialty Industrial Machinery,Misc.,,,,,,,
Biotechnology,Research,,,,,,,
Biotechnology,Research,,,,,,,
Biotechnology,Research,,,,,,,
Drug Manufacturers‚ Specialty & Generic,Research,,,,,,,
Biotechnology,Research,,,,,,,
Oil & Gas E&P,Misc.,,,,,,,
Building Products & Equipment,Innovation,,,,,,,
Biotechnology,Research,,,,,,,
Farm & Heavy Construction Machinery,Misc.,,,,,,,
Education & Training Services,Productivity,,,,,,,
REIT‚ Residential,Misc.,,,,,,,
Airports & Air Services,Search,,,,,,,
Specialty Retail,Connectivity,,,,,,,
REIT‚ Diversified,Misc.,,,,,,,
Oil & Gas Equipment & Services,Misc.,,,,,,,
Utilities‚ Regulated Electric,Misc.,,,,,,,
Coking Coal,Misc.,,,,,,,
Oil & Gas E&P,Misc.,,,,,,,
Biotechnology,Research,,,,,,,
Asset Management,Business,,,,,,,
Oil & Gas Equipment & Services,Misc.,,,,,,,
Scientific & Technical Instruments,Devices,,,,,,,
Biotechnology,Research,,,,,,,
Biotechnology,Research,,,,,,,
Shell Companies,Misc.,,,,,,,
Oil & Gas Equipment & Services,Misc.,,,,,,,
REIT‚ Diversified,Misc.,,,,,,,
Industrial Distribution,Misc.,,,,,,,
Shell Companies,Misc.,,,,,,,
Biotechnology,Research,,,,,,,
Biotechnology,Research,,,,,,,
Shell Companies,Misc.,,,,,,,
Asset Management,Business,,,,,,,
Internet Content & Information,Connectivity,,,,,,,
Medical Devices,Research,,,,,,,
Apparel Retail,Connectivity,,,,,,,
Banks‚ Regional,Organization,,,,,,,
Packaging & Containers,Misc.,,,,,,,
Biotechnology,Research,,,,,,,
Shell Companies,Misc.,,,,,,,
Software‚ Infrastructure,OS,,,,,,,
Oil & Gas Equipment & Services,Misc.,,,,,,,
Capital Markets,Business,,,,,,,
Apparel Manufacturing,Connectivity,,,,,,,
Software‚ Infrastructure,OS,,,,,,,
Education & Training Services,Organization,,,,,,,
Software‚ Application,OS,,,,,,,
Lodging,Search,,,,,,,
Biotechnology,Research,,,,,,,
Education & Training Services,Organization,,,,,,,
Electronic Gaming & Multimedia,Media,,,,,,,
Biotechnology,Research,,,,,,,
Biotechnology,Research,,,,,,,
Biotechnology,Research,,,,,,,
Software‚ Application,OS,,,,,,,
Internet Content & Information,Media,,,,,,,
Internet Retail,Search,,,,,,,
Biotechnology,Research,,,,,,,
Capital Markets,Business,,,,,,,
Shell Companies,Misc.,,,,,,,
Oil & Gas Midstream,Misc.,,,,,,,
Trucking,Misc.,,,,,,,
Credit Services,Business,,,,,,,
Software‚ Infrastructure,OS,,,,,,,
Rental & Leasing Services,Misc.,,,,,,,
Software‚ Infrastructure,OS,,,,,,,
Software‚ Application,OS,,,,,,,
Software‚ Infrastructure,OS,,,,,,,
Internet Retail,Search,,,,,,,
Biotechnology,Research,,,,,,,
Banks‚ Regional,Organization,,,,,,,
Coking Coal,Misc.,,,,,,,
Software‚ Infrastructure,OS,,,,,,,
Insurance‚ Property & Casualty,Business,,,,,,,
Biotechnology,Research,,,,,,,
Biotechnology,Research,,,,,,,
Oil & Gas E&P,Misc.,,,,,,,
Internet Content & Information,Connectivity,,,,,,,
Telecom Services,Connectivity,,,,,,,
Electrical Equipment & Parts,Misc.,,,,,,,
Banks‚ Regional,Organization,,,,,,,
Oil & Gas Equipment & Services,Misc.,,,,,,,
Semiconductors,Devices,,,,,,,
Software‚ Application,OS,,,,,,,
Home Improvement Retail,Misc.,,,,,,,
Software‚ Application,OS,,,,,,,
Insurance‚ Diversified,Business,,,,,,,
Software‚ Application,OS,,,,,,,
Software‚ Application,OS,,,,,,,
Internet Retail,Search,,,,,,,
Advertising Agencies,Business,,,,,,,
Oil & Gas Equipment & Services,Misc.,,,,,,,
Credit Services,Business,,,,,,,
Biotechnology,Research,,,,,,,
Oil & Gas E&P,Misc.,,,,,,,
Packaged Foods,Misc.,,,,,,,
Medical Devices,Research,,,,,,,
Biotechnology,Research,,,,,,,
Banks‚ Regional,Organization,,,,,,,
Electronic Gaming & Multimedia,Media,,,,,,,
Biotechnology,Research,,,,,,,
Engineering & Construction,Misc.,,,,,,,
Banks‚ Regional,Organization,,,,,,,
Banks‚ Regional,Organization,,,,,,,
REIT‚ Mortgage,Misc.,,,,,,,
Oil & Gas E&P,Misc.,,,,,,,
Biotechnology,Research,,,,,,,
Specialty Industrial Machinery,Misc.,,,,,,,
Banks‚ Regional,Organization,,,,,,,
Biotechnology,Research,,,,,,,
Banks‚ Regional,Organization,,,,,,,
Banks‚ Regional,Organization,,,,,,,
Staffing & Employment Services,Search,,,,,,,
Metal Fabrication,Misc.,,,,,,,
Biotechnology,Research,,,,,,,
Biotechnology,Research,,,,,,,
Biotechnology,Research,,,,,,,
Real Estate‚ Development,Misc.,,,,,,,
Insurance‚ Diversified,Connectivity,,,,,,,
Internet Content & Information,Search,,,,,,,
Software‚ Application,OS,,,,,,,
Entertainment,Media,,,,,,,
